5/9/2019,7331100,9.1100,9.0100,9.1600,8.8300
5/8/2019,5071800,9.1700,9.2200,9.3400,9.1300
5/7/2019,7110400,9.1100,9.1900,9.2100,8.9700
5/6/2019,5936800,8.8300,9.2200,9.2400,8.8300
5/3/2019,6888000,8.8500,9.0600,9.1000,8.7100
5/2/2019,6872900,8.8400,8.7700,9.0100,8.6600
5/1/2019,7672900,9.2100,8.9900,9.2300,8.9800
4/30/2019,11214500,9.8000,9.2800,9.9800,9.2300
4/29/2019,5769700,9.5300,9.5500,9.7000,9.4900
4/26/2019,7655400,9.8300,9.6400,9.8300,9.5000
